initial_sentence,follow_sentence,generated_sentence,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
"The sera from all 40 subjects with active SLE had positive latex tests, while all 28 sera from healthy adults had negative latex tests.",False-positive latex tests were observed in five of 13 antinuclear factor-positive patients with other chronic inflammatory diseases.,"the results of the results of the region of the optic tract were compared with those obtained by others in the vicinity of the optic tract, and with those obtained in the region of the opticfixed cortex.",0.1081081081051863,1.7329174829859686e-09,4.410582067320715e-12,2.241311406054368e-13,0.046720810810990124,0.15875081327260898,0,0.7318472862243652,0.771853,0.312825,0.647141
No consistent changes were seen in the results of leucocyte histamine release tests and naso-conjunctival provocation tests from spring to autumn.,A Sepharo-protein A technique was used for the estimation of Timothy-specific IgG antibodies.,"the suitability of the two types of the drug for the clinical use is discussed : ( 1 ), the relevance of the two types of the drug for the clinical use is discussed : ( 2 ).",0.0789473684189751,0.046192127683347024,3.8989213783975707e-07,1.1407522846122746e-09,0.06645211762336879,0.12905500705218617,0,0.6654932498931885,0.68966,0.359846,0.584603
"These results suggest that the two types of helper T cells are derived from a common precursor pool, or from different pools with identical susceptibilities to tolerogen.",Suppressor cells do not appear to play a role in this form of tolerance.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.02564102564036821,8.214400967955679e-10,2.632186702273937e-12,1.5002439803884427e-13,0.02206896551724138,0.041244083840432724,0,0.6263130903244019,0.758273,0.369369,0.603945
The grids are transferred from a solution to another during the staining procedure conveniently in a container made of polyvinyl chloride plastic.,This staining procedure is easy to perform and gives reproducible results.,"the results of the the results of the head and of the environment and of the environment are compared with, in particular, the results of the results of the examinations of the head and of the surroundings.",0.0270270270262966,8.664587414929847e-10,2.778492594453109e-12,1.5848464939717997e-13,0.06309148264984227,0.046177138531415605,0,0.7052773237228394,0.709099,0.30077,0.569915
The effluent from mechanically- and electrically-stimulated tracheal muscle caused a definite relaxation when superfused over a second cat tracheal muscle contracted by serotonin and pretreated with propranolol.,Electrically-stimulated cat trachea itself gave a relaxant response which was blocked by propranolol but potentiated by aspirin.,"the topology of the motor fibers of the short lambdoid muscles, the diameters of the deep motor fibers, the diameters of the deep motor fibers, and the premotor fibers were dissected and studied.",3.0303030302112037e-17,3.0772872743886104e-17,3.126017915283692e-17,3.1766054984897373e-17,0.008421052631578947,0,0,0.6608444452285767,0.623939,0.153476,0.509734
"The administration of human chorionic gonadotrophins to adult rats stimulates the formation of testosterone, 7alpha-hydroxy-testosterone and 5alpha-androstanediol in incubated testes.","When the gonadotrophins are injected for several days, the testosterone formation is maintained at a high level; however, the transformation to 7alpha-hydroxy-testosterone decreases progressively to subcontrol levels, while 5alpha-androstanediol is produced in greater amounts.","the effect of the hormone on the formation of testosterone, 7alpha - hydroxy - testosterone and 5alpha - androstanedione from human chorionic gonadotroph has been studied in the adult rat testis.",0.17569566991264224,2.3057151472019684e-09,5.500408396580773e-12,2.7101889476867647e-13,0.11344315017851224,0.12206103051525763,0,0.7716119885444641,0.8321,0.274064,0.689383
"In contrast to early regressing M-MSV tumors, whose development is independent of Fv-1 genotype, late MSV tumor progression is largely a function of this gene, since all late tumors which appeared in (B10BR x AKR) x AKR were observed in Fv-1n homozygous mice, H-2k halotype is a further factor in the occurrence of late MSV tumors, at least in (B6 x AKR) x AKR mice.","In crosses of AKR with Fv-1 compatible mice, tumor appearance was strongly associated with inheritance of AKR-Mulv, and MSV recovered from late tumors of first back-cross animals appeared to be a new pseudotype with the endogenous AKR-MuLV.",the ratio of the logarithm of the logarithm of the [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]. j. virol.,0.10810810810226446,1.732917482939133e-09,4.41058206720151e-12,2.2413114059937921e-13,0.017057569296375266,0.10810810810810813,0,0.44812411069869995,0.228935,0.10453,0.603479
The discriminant function of HOME Inventory subscale scores correctly predicted 71 percent of all children who scored below 70 IQ.,Results attest to the usefulness of the HOME Inventory in a comprehensive program of screening for developmental delay.,the results of the the results of the the results of the results of the results of the results of the results of the results of the results of the results of the results of the results are discussed.,0.10256410256147275,0.051952433345263505,4.178335940166351e-07,1.1931001236118979e-09,0.07832464531445736,0.1503388786198398,0,0.739145040512085,0.823332,0.311373,0.603118
A temporal and drug dose dependence of this effect was demonstrated.,The changes in spleen cell population occurring in the donor mice consequent to drug treatment were evident in the nylon woll-adherent fraction of the spleen cells.,the results of the the results of the results of the the the v. v. v. v. v. v. v. v. v. v. v. v. v..,0.15384615383431954,0.07844645404917897,6.35299427967209e-07,1.8272664873906376e-09,0.034453395321421006,0.15384615384615383,0,0.17227095365524292,0.393831,0.201613,0.507833
"R. trifolii 24XSM, T26 and 14M were also found to harbor an endogenous plasmid (molecular weight 5.5 megadaltons) with undetermined as yet properties.",Ridrd19 could be stably maintained in the same cell together with the endogenous plasmid.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.05128205128073639,1.1616917255653596e-09,3.3163474334483016e-12,1.7841008157179387e-13,0.03310344827586207,0.08248816768086545,0,0.6629101037979126,0.705477,0.205894,0.578073
"In inactive disease the ADA levels ranged between 25 and 98 U/ml, ANF titres varied from 1/40 to 1/640, and LE cells were detected in only 20% of the cases.","In 3 patients investigated during the course of the disease, the ADA levels correlated best with clinical improvement.","the significance of the disease was weakness, weakness, fatigue, anemia, anemia, anemia, anemia, anemia, anemia, anemia, and anemia, and in the majority of cases the prevalence was low.",0.14285714285204085,0.0727392967426849,5.881953893881621e-07,1.689103297568578e-09,0.0893912357160946,0.18100890207715134,0,0.7382562160491943,0.813269,0.580616,0.675864
The arterial hyperammonemia induced by shock did not result from muscle or renal ammonia production but is related to impaired hepatic uptake of portal ammonia.,These results indicate that in the rat the blood pressure stability is a necessary precondition in any experiment on ammonia metabolism.,the magnitude of the imf depends on the location of the phases of the menstrual cycle in the vicinity of the end of the period of the menstrual cycle ( e. g. e. g. ).,0.11428571428244902,0.05797710356356404,4.670173659329175e-07,1.3357103091691184e-09,0.04785369608988662,0.11220110361741262,0,0.6834390759468079,0.803719,0.150109,0.571847
The existence of two lipid fractions in feces with different biochemical information content.,"Isolation, characterization and information content of these fractions [proceedings].","the results of the the results of the the results of the the results of the results of the results of the results of the results of the smoking habits, and the propensity to quit smoking were compared.",0.05263157894598341,1.1926756082899304e-09,3.406021549710842e-12,1.8330256088670778e-13,0.04377564979480164,0.04788069073783359,0,0.6782917380332947,0.743123,0.206432,0.588771
The virus was serologically distinct from adenoviruses 1 to 34 in reciprocal serum neutralization tests with antisera to these viruses.,We propose this virus as candidate adenovirus type 35 (holden).,"the topology of the the membranes of the membranes of the crystals of thelinic, of thelinic, of the monoclinicliniclinic, the monocliniclinic and the monoclinic, has been determined.",3.7037037035665295e-17,3.774256780339511e-17,3.848052244066258e-17,3.925345689595162e-17,0.013008130081300815,0,0,0.5599847435951233,0.627758,0.170077,0.550635
Typical mu- and L chains constituted only a proportion of the anigen-binding peptides recognized by the anti-mu reagents.,Induction of IgM antibody synthesis was dependent on the presence of antigen and was correlated with the generation of HcPFC.,the results of the presence of the presence of the presence of the absence of the specific antigen were obtained in the presence of the presence of the presence of the absence of the absence of the specific antigen.,0.17948717948257728,0.09719410299359298,0.0634394441835043,9.176855679390852e-06,0.10441882432141593,0.2519174041297935,0,0.8064777851104736,0.893288,0.574536,0.75511
Human lymphocytes were significantly cytotoxic against the transformed cell line when compared to a normal human control cell line.,Patients with prostatic carcinoma demonstrated greater target cell reduction than those with benign prostatic hyperplasia.,the results of the results of the the results of the the results of the results of the results of the results of the results of the results of the results of the results of the results are discussed.,2.5641025640368184e-17,2.597621667263174e-17,2.632186702273938e-17,2.6678529803596046e-17,0.009111617312072894,0,0,0.6395483613014221,0.500688,0.162372,0.430419
The average norepinephrine (NE) dose necessary to produce spontaneous contractions in muscles stimulated at rates of 10/min was higher at high PCO2.,"Whereas 2 100 +/- 295 X 10(-8) mol/litre of NE was necessary during acidosis, only 824 +/- 295 X 10(-8) mol/litre was necessary to produce spontaneous contractions in alkalosis.",the results of the results and of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results.,0.02564102564036821,8.214400967955679e-10,2.632186702273937e-12,1.5002439803884427e-13,0.00780107264748903,0.030212976721149084,0,0.6007120609283447,0.552992,0.339443,0.459539
Diastolic blood-pressure values obtained in the beta-blocker-plus-indomethacin phase were not significantly different from those obtained in the placebo phase but were significantly different from the values measured in both beta-blocker phases (P less than 0-01).,The changes in systolic blood-pressure and pulse-rate were not significant.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,2.5641025640368184e-17,2.597621667263174e-17,2.632186702273938e-17,2.6678529803596046e-17,0.0243531202435312,0,0,0.6696189045906067,0.689474,0.30371,0.417776
The patients with symptoms were subsequently managed on a diet free from cow's milk until tolerance developed.,"However, the eight infants without symptoms (but with jejunal mucosal damage) made satisfactory clinical progress, with adequate weight-gain, on a diet of cow's milk.","the results of the the results of the results of the results of the monoclinic lattices, the hexagonal, the hexagonal, monoclinic, the hexagonal, and monoclinic lattices restricts the nickel were tabulated.",0.06451612903017692,1.4664711501654392e-09,4.201293444116879e-12,2.26854685895228e-13,0.03727202631673606,0.07443563148261136,0,0.7674862146377563,0.740232,0.095651,0.593138
Staining is for 60-180 min in 20 cc freshly made 10% alcoholic hematoxylin diluted with 165 cc distilled H2O to which 15 cc saturated Li2CO3 is added.,"The sections are washed in distilled H2O (5-15 min) and dehydrated in graded alcohols without differentiation in mordant, and covered.","the results of the results of the wilcoxon tests are tabulated in the following order : the,, the,, the,, the,, the,, the,, the, and the weighting.",0.11538461538017755,2.1483446220340176e-09,5.7720783660904764e-12,3.02389846865684e-13,0.044901777362020584,0.13357664233576644,0,0.7021412253379822,0.718961,0.119264,0.619549
"This causes a divergence of the fibers from one single level, especially of the part of the fibers, being farthest away from the hilus.",The degree of descent of the fibers from each mediolateral position of the granule cells was constant at all septotemporal levels examined.,"the exponents of the are the logarithm of the logarithm of the logarithm of the logarithm of the number of the relay, and the logarithm of the logarithm of the logarithm of the number of the spacers.",0.13513513513148287,0.08664587414929846,5.986080831486463e-07,1.5848464939717994e-09,0.0684548673510093,0.1776354105998835,0,0.7135095596313477,0.787311,0.228474,0.64751
It is concluded that the ability to synthesize AFP is a property which is restricted to the visceral endoderm during early post-implantation development.,The presence of AFP in other tissues of the embryo appears to be due to adsorption.,the ratio of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of the logarithm of.,0.07692307692110456,0.044992127065415964,3.7962701403234574e-07,1.1103047724285478e-09,0.05878462070703143,0.11798839458413925,0,0.6649081110954285,0.611063,0.253992,0.634978
"The sera from all 40 subjects with active SLE had positive latex tests, while all 28 sera from healthy adults had negative latex tests.",False-positive latex tests were observed in five of 13 antinuclear factor-positive patients with other chronic inflammatory diseases.,"the results of the results of the region of the optic tract were compared with those obtained by others in the vicinity of the optic tract, and with those obtained in the region of the opticfixed cortex.",0.1081081081051863,1.7329174829859686e-09,4.410582067320715e-12,2.241311406054368e-13,0.046720810810990124,0.15875081327260898,0,0.7318472862243652,0.771853,0.312825,0.647141
No consistent changes were seen in the results of leucocyte histamine release tests and naso-conjunctival provocation tests from spring to autumn.,A Sepharo-protein A technique was used for the estimation of Timothy-specific IgG antibodies.,"the suitability of the two types of the drug for the clinical use is discussed : ( 1 ), the relevance of the two types of the drug for the clinical use is discussed : ( 2 ).",0.0789473684189751,0.046192127683347024,3.8989213783975707e-07,1.1407522846122746e-09,0.06645211762336879,0.12905500705218617,0,0.6654932498931885,0.68966,0.359846,0.584603
"These results suggest that the two types of helper T cells are derived from a common precursor pool, or from different pools with identical susceptibilities to tolerogen.",Suppressor cells do not appear to play a role in this form of tolerance.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.02564102564036821,8.214400967955679e-10,2.632186702273937e-12,1.5002439803884427e-13,0.02206896551724138,0.041244083840432724,0,0.6263130903244019,0.758273,0.369369,0.603945
The grids are transferred from a solution to another during the staining procedure conveniently in a container made of polyvinyl chloride plastic.,This staining procedure is easy to perform and gives reproducible results.,"the results of the the results of the head and of the environment and of the environment are compared with, in particular, the results of the results of the examinations of the head and of the surroundings.",0.0270270270262966,8.664587414929847e-10,2.778492594453109e-12,1.5848464939717997e-13,0.06309148264984227,0.046177138531415605,0,0.7052773237228394,0.709099,0.30077,0.569915
A single dissociation constant for FMP binding of 6.6 microM (4 sites per tetramer) was determined by monitoring fluorescence intensity.,AMP displaces FMP from the enzyme as evidenced by a decrease in FMP fluorescence and polarization.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.02564102564036821,8.214400967955679e-10,2.632186702273937e-12,1.5002439803884427e-13,0.0201765447667087,0.03932946486137976,0,0.704850435256958,0.631123,0.259722,0.493853
The effluent from mechanically- and electrically-stimulated tracheal muscle caused a definite relaxation when superfused over a second cat tracheal muscle contracted by serotonin and pretreated with propranolol.,Electrically-stimulated cat trachea itself gave a relaxant response which was blocked by propranolol but potentiated by aspirin.,"the topology of the motor fibers of the short lambdoid muscles, the diameters of the deep motor fibers, the diameters of the deep motor fibers, and the premotor fibers were dissected and studied.",3.0303030302112037e-17,3.0772872743886104e-17,3.126017915283692e-17,3.1766054984897373e-17,0.008421052631578947,0,0,0.6608444452285767,0.623939,0.153476,0.509734
The present studies were initiated to define the coding region of a 34 kilodalton (kd) protein (p34) frequently observed with antibodies from HTLV-III/LAV-infected people by immunoblotting and radioimmunoprecipitation (RIP) techniques.,We have directly mapped this viral protein to the pol gene of HTLV-III/LAV by radiolabeled amino acid sequence analysis.,"the results of the present study of the expression of the coding regions of the two proteins of the same type, and of the protein [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] - infected individuals, were compared.",0.08108108107888973,1.5007505629280368e-09,4.007279750452312e-12,2.085775285235154e-13,0.037884767166535126,0.07582349285270355,0,0.566062331199646,0.735006,0.51869,0.66665
The spatial arrangement of this structure was studied on thick sections using a goniometric stage.,"Although it was not possible to determine whether GERL in pinealocytes belongs to the Golgi apparatus or to endoplasmic reticulum, it can be concluded that its presence in studied cells signifies that they are considerably more active synthetically than has been believed to date.",the results of the the results of the the results of the the the i. i. i. i. i. i. i. i. i. i. i. i. v.,0.019732929397165457,6.358969912351541e-10,2.050200267792547e-12,1.1760701725396494e-13,0.004781829049611476,0.02700309871624613,0,0.4165079593658447,0.548155,0.162748,0.485302
"The administration of human chorionic gonadotrophins to adult rats stimulates the formation of testosterone, 7alpha-hydroxy-testosterone and 5alpha-androstanediol in incubated testes.","When the gonadotrophins are injected for several days, the testosterone formation is maintained at a high level; however, the transformation to 7alpha-hydroxy-testosterone decreases progressively to subcontrol levels, while 5alpha-androstanediol is produced in greater amounts.","the effect of the hormone on the formation of testosterone, 7alpha - hydroxy - testosterone and 5alpha - androstanedione from human chorionic gonadotroph has been studied in the adult rat testis.",0.17569566991264224,2.3057151472019684e-09,5.500408396580773e-12,2.7101889476867647e-13,0.11344315017851224,0.12206103051525763,0,0.7716119885444641,0.8321,0.274064,0.689383
